Tahun,Provinsi,Kabupaten/Kota,Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2021,Aceh,Kab. Aceh Barat,30,15.28,30,5,10,5,5
2021,Aceh,Kab. Pidie,5.74,0.4,2.84,2.01,0.5,0.67,1.3
2021,Aceh,Kab. Gayo Lues,16,6,11,2,3,,2
2021,Aceh,Kab. Aceh Jaya,,,,,,,
2021,Aceh,Kota Banda Aceh,190.29,0.57,9.23,46.18,2.36,0,0.05
2021,Aceh,Kota Langsa,10,2.2,14,12,12.08,2.5,
2021,Aceh,Kota Subulussalam,26,1.5,6,2.5,4,26,
2021,Sumatera Utara,Kab. Tapanuli Tengah,,,,,,,
2021,Sumatera Utara,Kab. Tapanuli Utara,2,2,0.51,0.5,2,1,
2021,Sumatera Utara,Kab. Langkat,8.5,5.4,7.6,6,3.9,1.9,2.8
2021,Sumatera Utara,Kab. Karo,49.25,35.94,60.14,35.94,24.9,24.25,13.98
2021,Sumatera Utara,Kab. Deli Serdang,477.07,67.87,255.5,67.87,100.5,25.95,123.4
2021,Sumatera Utara,Kab. Simalungun,,,,,,,
2021,Sumatera Utara,Kab. Asahan,,,,,,,
2021,Sumatera Utara,Kab. Dairi,,,,,,,
2021,Sumatera Utara,Kab. Toba,,,,,,,
2021,Sumatera Utara,Kab. Samosir,16,3,10,5,1,4,1
2021,Sumatera Utara,Kota Medan,,,,,,,
2021,Sumatera Utara,Kota Pematang Siantar,162,5.4,22.02,12,6,12,13.6
2021,Sumatera Utara,Kota Tebing Tinggi,74.66,9.43,21.17,8.81,4.36,3.67,0.39
2021,Sumatera Barat,Kab. Pesisir Selatan,,,,,,,
2021,Sumatera Barat,Kab. Sijunjung,14.6,7.3,9.2,0.9,2.2,0.7,
2021,Sumatera Barat,Kab. Tanah Datar,88.6,0.28,17.75,1.54,12.27,,
2021,Sumatera Barat,Kab. Agam,,,,,,,
2021,Sumatera Barat,Kab. Lima Puluh Kota,,,,,,,
2021,Sumatera Barat,Kab. Pasaman,,,,,,,
2021,Sumatera Barat,Kab. Dharmasraya,,2.29,0.94,,0.1,,11.2
2021,Sumatera Barat,Kab. Solok Selatan,17.39,0.2,2.01,5.21,,,
2021,Sumatera Barat,Kota Padang,462,14,88,20,40.41,7,8
2021,Sumatera Barat,Kota Solok,32.32,0.51,16.21,0.43,1.24,0.05,1.72
2021,Sumatera Barat,Kota Sawahlunto,,,,,,,
2021,Sumatera Barat,Kota Padang Panjang,38.13,0.36,6.76,1.52,1,0.01,0.63
2021,Sumatera Barat,Kota Payakumbuh,77.8,0.75,9.29,6.76,3.33,0.35,0.54
2021,Riau,Kab. Kampar,,,,,,,
2021,Riau,Kab. Bengkalis,,,,,,,
2021,Riau,Kab. Indragiri Hilir,303.82,0.9,4.07,2.88,6.7,,
2021,Riau,Kab. Siak,17.4,4.5,7,2,4.3,2.8,1
2021,Riau,Kota Pekanbaru,,,,,,,
2021,Riau,Kota Dumai,,,,,,,
2021,Jambi,Kab. Merangin,30,10,30,5,20,5,
